Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Iceland,Europe,210257,57742,70,19,70,186,51,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2051232,1246,102,,102,29498,18,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201908,3113,6,,6,4230,65,,,
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
South Sudan,Africa,18823,168,,,,147,1,,,
Slovakia,Europe,1877866,34407,28,1,28,21226,389,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1863101,46704,,,,17150,430,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Ireland,Europe,1742441,35098,847,17,847,9691,195,2,,2
Namibia,Africa,172513,6789,13,1,13,4108,162,,,
Uganda,Africa,172154,376,2,,2,3632,8,,,
Ghana,Africa,172057,554,5,,5,1462,5,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004718,20162,1,,1,101419,120,,,
Tonga,Western Pacific,16973,16058,3,3,3,12,11,,,
Marshall Islands,Western Pacific,16252,27455,,,,17,29,,,
Nicaragua,Americas,16175,244,4,,4,245,4,,,
Dominica,Americas,16047,22290,,,,74,103,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157115,5306,53,2,53,3604,122,,,
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Central African Republic,Africa,15441,320,1,,1,113,2,,,
Norway,Europe,1510561,28142,678,13,678,5732,107,,,
Kazakhstan,Europe,1504370,8012,,,,19072,102,,,
Finland,Europe,1499712,27143,,,,11466,208,,,
Northern Mariana Islands,Western Pacific,14779,25677,29,50,29,41,71,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Cambodia,Western Pacific,139305,833,6,,6,3056,18,,,
Lithuania,Europe,1367553,48944,267,10,267,9809,351,,,
Slovenia,Europe,1356217,64709,82,4,82,10069,480,1,,1
Rwanda,Africa,133264,1029,3,,3,1468,11,,,
Bulgaria,Europe,1329519,19126,32,,32,38700,557,,,
Croatia,Europe,1317144,32457,,,,18752,462,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Cameroon,Africa,125240,472,1,,1,1974,7,,,
Guatemala,Americas,1250367,6979,3,,3,20203,113,,,
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Saint Martin (French part),,12324,31879,,,,46,119,,,
Costa Rica,Americas,1230653,24158,,,,9368,184,,,
Malta,Europe,122369,23781,254,49,254,915,178,2,,2
Bolivia (Plurinational State of),Americas,1212145,10384,1,,1,22387,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Barbados,Americas,107794,37510,,,,593,206,,,
Ecuador,Americas,1076965,6104,82,,82,36050,204,,,
Angola,Africa,107481,327,2,,2,1937,6,,,
Niue,Western Pacific,1074,66378,,,,0,,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1044731,24213,67,2,67,8733,202,7,,7
Uruguay,Americas,1041307,29977,8,,8,7682,221,,,
United States of America,Americas,103436829,31250,,,,1191085,360,358,,358
Eritrea,Africa,10189,287,,,,103,3,,,
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Argentina,Americas,10113517,22377,122,,122,130685,289,1,,1
Democratic Republic of the Congo,Africa,100889,113,269,,269,1471,2,1,,1
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
